Device ID,Device Name,Fleet Name,Speed,Altitude,Creation Time,Location,Precision,Direct,Satellites,IO Status,Emergency,ACC State
2590000898,B 9979 SYM,"Sankyu,PT",54.33 km/h,32.0,2026-09-08 14:07:18,"106.737732,-6.20432",0.0,152,22,,No,on
2590000898,B 9979 SYM,"Sankyu,PT",51.39 km/h,28.0,2026-09-08 14:06:48,"106.735924,-6.20081",0.0,152,22,,No,on
2590000898,B 9979 SYM,"Sankyu,PT",39.29 km/h,35.0,2026-09-08 14:06:18,"106.734276,-6.197474",0.0,154,22,,No,on
2590000898,B 9979 SYM,"Sankyu,PT",28.1 km/h,26.0,2026-09-08 14:05:48,"106.733284,-6.19523",0.0,156,20,,No,on
2590000898,B 9979 SYM,"Sankyu,PT",0.0 km/h,31.0,2026-09-08 14:05:18,"106.73275,-6.193755",0.0,158,20,,No,on
2590000898,B 9979 SYM,"Sankyu,PT",0.0 km/h,31.0,2026-09-08 14:04:48,"106.73275,-6.193755",0.0,158,21,,No,on
2590000898,B 9979 SYM,"Sankyu,PT",34.2 km/h,32.0,2026-09-08 14:04:18,"106.7323,-6.192642",0.0,159,22,,No,on
2590000898,B 9979 SYM,"Sankyu,PT",27.75 km/h,29.0,2026-09-08 14:03:48,"106.731682,-6.190417",0.0,172,20,,No,on
2590000898,B 9979 SYM,"Sankyu,PT",27.76 km/h,29.0,2026-09-08 14:03:44,"106.731689,-6.190137",0.0,194,20,,No,on
2590000898,B 9979 SYM,"Sankyu,PT",29.3 km/h,27.0,2026-09-08 14:03:40,"106.731812,-6.189878",0.0,216,20,,No,on
2590000898,B 9979 SYM,"Sankyu,PT",27.1 km/h,26.0,2026-09-08 14:03:36,"106.732025,-6.189678",0.0,237,20,,No,on
2590000898,B 9979 SYM,"Sankyu,PT",28.04 km/h,24.0,2026-09-08 14:03:31,"106.732338,-6.189565",0.0,263,21,,No,on
2590000898,B 9979 SYM,"Sankyu,PT",31.41 km/h,20.0,2026-09-08 14:03:27,"106.732651,-6.189589",0.0,286,20,,No,on
2590000898,B 9979 SYM,"Sankyu,PT",35.42 km/h,19.0,2026-09-08 14:03:23,"106.732948,-6.189757",0.0,310,19,,No,on
2590000898,B 9979 SYM,"Sankyu,PT",36.74 km/h,19.0,2026-09-08 14:03:19,"106.733162,-6.190057",0.0,337,21,,No,on
2590000898,B 9979 SYM,"Sankyu,PT",36.87 km/h,20.0,2026-09-08 14:03:16,"106.733231,-6.190311",0.0,359,22,,No,on
2590000898,B 9979 SYM,"Sankyu,PT",38.77 km/h,21.0,2026-09-08 14:03:14,"106.733215,-6.190498",0.0,16,22,,No,on
2590000898,B 9979 SYM,"Sankyu,PT",41.16 km/h,22.0,2026-09-08 14:03:11,"106.733086,-6.190785",0.0,39,22,,No,on
